,state,x,y
0,Acre,-237.0,74.0
1,Alagoas,279.0,57.0
2,Amapa,31.0,237.0
3,Amazonas,-155.0,148.0
4,Bahia,184.0,21.0
5,Ceara,219.0,131.0
6,Distrito Federal,93.0,-25.0
7,Espirito Santo,193.0,-90.0
8,Goias,56.0,-37.0
9,Maranhao,131.0,145.0
10,Mato Grosso,-31.0,17.0
11,Mato Grosso Do Sul,-11.0,-93.0
12,Minas Gerais,130.0,-59.0
13,Para,14.0,147.0
14,Paraiba,285.0,100.0
15,Parana,34.0,-155.0
16,Pernanbuco,277.0,79.0
17,Piaui,167.0,92.0
18,Rio Grande Do Norte,278.0,118.0
19,Rio Grande Do Sul,17.0,-236.0
20,Rio De Janeiro,166.0,-125.0
21,Rondonia,-133.0,36.0
22,Roraima,-107.0,237.0
23,Santa Catarina,57.0,-195.0
24,Sao Paulo,85.0,-129.0
25,Sergipe,259.0,34.0
26,Tocantins,87.0,56.0
